"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1NJBG0064","40.852624","-74.087451","52.1","2024-05",,,,"17","11",,,,,,,,,,,"1.06",,,,"4.51",,,,,,,,
"USC00308577","40.8216","-73.4908","80.8","2023-06",,"102","73","11","6",,,"0","0","0","24","0","47",,,"0.88","85","4737","48","2.43",,"65.9","74.0","57.7",,,,
"USC00308577","40.8216","-73.4908","80.8","2023-07",,"444","342","12","6",,,"0","0","0","31","3","58",,,"1.05","90","0","0","2.75",,"76.0","84.1","67.9",,,,
"USC00308577","40.8216","-73.4908","80.8","2023-08",,"628","184","10","10",,,"0","0","0","28","0","56",,,"1.30","85","0","0","4.52",,"71.1","78.0","64.3",,,,
"USC00308577","40.8216","-73.4908","80.8","2023-09",,"762","133","14","10","0","0","0","0","0","20","1","50","0","0.0","3.58","93","69","69","9.56","0.0","67.1","74.4","59.9",,,,
"USC00308577","40.8216","-73.4908","80.8","2023-10",,"772","10","8","5",,,"0","0","0","8","0","40",,,"1.03","79","292","222","3.11",,"57.7","65.4","50.0",,,,
"USC00308577","40.8216","-73.4908","80.8","2023-11",,"772","0","4","3",,,"0","14","0","0","0","24",,,"1.48","64","958","666","1.87",,"42.8","51.5","34.1",,,,
"USC00308577","40.8216","-73.4908","80.8","2023-12",,"772","0","10","8","0","0","0","12","0","0","0","23","0","0.0","4.10","60","1712","754","8.48","0.0","40.7","47.3","34.1",,,,
"USC00308577","40.8216","-73.4908","80.8","2024-01",,"0","0","12","9",,"2","0","21","7","0","0","15",,"1.8","1.77","57","2674","962","5.13","3.5","34.0","40.3","27.6",,,,
"USC00308577","40.8216","-73.4908","80.8","2024-02",,"0","0","8","5",,"3","0","22","0","0","0","18",,"4.0","0.40","56","3534","859","1.19","7.3","35.4","42.3","28.4",,,,
"USC00308577","40.8216","-73.4908","80.8","2024-03",,"0","0","13","8",,,"0","7","0","2","0","24",,,"3.20","70","4186","652","8.72",,"44.0","52.1","35.8",,,,
"USC00308577","40.8216","-73.4908","80.8","2024-04",,"2","2","12","5","0","0","0","2","0","4","0","32","0","0.0","1.32","82","4638","452","3.84","0.0","50.0","58.9","41.1",,,,
"USC00308577","40.8216","-73.4908","80.8","2024-05",,"39","36","12","9",,,"0","0","0","16","0","42",,,"1.31","83","4785","147","3.96",,"61.3","69.2","53.4",,,,
"USW00054743","40.87645","-74.28284","52.0","2023-06","4.5","176","133","10","7",,,"0","0","0","29","2","45",,,"1.87","96","4501","24","3.75",,"68.6","79.2","58.0","110","210","23.0","31"
"USW00054743","40.87645","-74.28284","52.0","2023-07","3.1","573","397","16","8",,,"0","0","0","31","10","58",,,"1.09","93","0","0","5.26",,"77.8","87.5","68.1","290","340","21.0","32"
"USW00054743","40.87645","-74.28284","52.0","2023-08","3.8","866","293","12","7",,,"0","0","0","31","0","57",,,"1.46","89","0","0","4.62",,"74.4","83.3","65.6","310","170","23.9","36"
"USW00054743","40.87645","-74.28284","52.0","2023-09","3.8","1026","160","13","12",,,"0","0","0","22","6","45",,,"3.11","96","50","50","9.18",,"68.7","77.6","59.8","170","180","23.9","36"
"USW00054743","40.87645","-74.28284","52.0","2023-10","3.1","1062","36","8","7",,,"0","0","0","13","0","39",,,"0.91","87","261","211","3.03",,"59.3","69.3","49.4","300","290","23.0","31"
"USW00054743","40.87645","-74.28284","52.0","2023-11","3.8","1062","0","6","3",,,"0","15","0","0","0","26",,,"1.24","68","888","627","3.22",,"44.1","54.0","34.2","290","320","21.9","30"
"USW00054743","40.87645","-74.28284","52.0","2023-12","4.0","1062","0","10","8",,,"0","14","0","0","0","24",,,"3.76","64","1589","701","9.81",,"42.4","49.6","35.2","120","110","30.0","42"
"USW00054743","40.87645","-74.28284","52.0","2024-01","5.4","0","0","14","10",,,"0","17","6","0","0","16",,,"3.10","61","2501","911","6.60",,"35.6","41.8","29.4","140","140","32.0","45"
"USW00054743","40.87645","-74.28284","52.0","2024-02","4.5","0","0","8","5",,,"0","20","0","0","0","20",,,"0.53","62","3273","772","1.59",,"38.4","46.9","29.8","300","320","33.1","49"
"USW00054743","40.87645","-74.28284","52.0","2024-03","6.5","0","0","12","7",,,"0","5","0","2","0","25",,,"2.49","76","3822","549","7.70",,"47.3","55.7","38.9","300","300","33.1","53"
"USW00054743","40.87645","-74.28284","52.0","2024-04","6.3","12","12","13","6",,,"0","0","0","7","1","34",,,"1.30","90","4172","349","3.95",,"53.7","63.5","44.0","100","110","36.0","54"
"USW00054743","40.87645","-74.28284","52.0","2024-05","4.3","119","106","16","10",,,"0","0","0","22","0","45",,,"0.93","89","4251","79","4.18",,"65.9","75.2","56.6","290","330","21.9","34"
"US1NJBG0060","41.047028","-74.016935","69.5","2023-06",,,,"11","8",,,,,,,,,,,"0.65",,,,"2.89",,,,,,,,
"US1NJBG0060","41.047028","-74.016935","69.5","2023-11",,,,"7","3",,,,,,,,,,,"1.25",,,,"2.83",,,,,,,,
"US1NJBG0060","41.047028","-74.016935","69.5","2023-12",,,,"9","8",,,,,,,,,,,"2.81",,,,"7.41",,,,,,,,
"US1NJBG0060","41.047028","-74.016935","69.5","2024-01",,,,"13","11",,,,,,,,,,,"2.47",,,,"6.23",,,,,,,,
"US1NJBG0060","41.047028","-74.016935","69.5","2024-02",,,,"7","5",,,,,,,,,,,"0.46",,,,"1.78",,,,,,,,
"US1NJBG0060","41.047028","-74.016935","69.5","2024-03",,,,"9","7",,,,,,,,,,,"1.86",,,,"6.88",,,,,,,,
"US1NJBG0060","41.047028","-74.016935","69.5","2024-05",,,,,,,,,,,,,,,,,,,,"4.48",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2023-06",,,,"7","5",,,,,,,,,,,"0.60",,,,"2.01",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2023-08",,,,"12","10",,,,,,,,,,,"1.71",,,,"7.04",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2023-09",,,,"13","10",,,,,,,,,,,"2.05",,,,"9.96",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2023-10",,,,"9","5",,,,,,,,,,,"0.88",,,,"2.46",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2023-11",,,,"3","2",,,,,,,,,,,"1.55",,,,"2.53",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2023-12",,,,"9","8",,,,,,,,,,,"3.12",,,,"8.27",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2024-01",,,,"13","11",,,,,,,,,,,"1.93",,,,"5.92",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2024-03",,,,"13","10",,,,,,,,,,,"2.45",,,,"7.81",,,,,,,,
"US1NJMD0082","40.5419","-74.35374","32.9","2024-05",,,,"18","11",,,,,,,,,,,"0.58",,,,"3.85",,,,,,,,
"US1NJMD0088","40.58884","-74.37212","27.4","2023-06",,,,"13","6",,,,,,,,,,,"0.62",,,,"2.75",,,,,,,,
"US1NJMD0088","40.58884","-74.37212","27.4","2023-07",,,,"14","11",,,,,,,,,,,"0.66",,,,"5.05",,,,,,,,
"US1NJMD0088","40.58884","-74.37212","27.4","2023-08",,,,"11","9",,,,,,,,,,,"1.32",,,,"6.44",,,,,,,,
"US1NJMD0088","40.58884","-74.37212","27.4","2023-09",,,,"14","9",,,,,,,,,,,"1.94",,,,"10.79",,,,,,,,
"US1NJMD0088","40.58884","-74.37212","27.4","2023-10",,,,"11","4",,,,,,,,,,,"0.72",,,,"2.30",,,,,,,,
"US1NJMD0088","40.58884","-74.37212","27.4","2023-11",,,,"4","2",,"0",,,,,,,,"0.0","1.95",,,,"3.22","0.0",,,,,,,
"US1NJMD0088","40.58884","-74.37212","27.4","2023-12",,,,"10","8",,,,,,,,,,,"3.25",,,,"8.37",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2023-06",,,,"9","7",,,,,,,,,,,"0.88",,,,"2.96",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2023-07",,,,"11","9",,,,,,,,,,,"3.08",,,,"6.81",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2023-08",,,,"10","8",,,,,,,,,,,"1.21",,,,"5.73",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2023-09",,,,"13","11",,,,,,,,,,,"1.65",,,,"8.76",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2023-10",,,,"6","6",,,,,,,,,,,"0.79",,,,"3.16",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2023-11",,,,"2","2",,,,,,,,,,,"2.45",,,,"3.86",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2023-12",,,,"9","8",,,,,,,,,,,"2.60",,,,"8.22",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2024-01",,,,"12","9",,,,,,,,,,,"2.38",,,,"6.67",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2024-02",,,,"7","5",,,,,,,,,,,"0.78",,,,"2.00",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2024-03",,,,"11","7",,,,,,,,,,,"2.85",,,,"8.64",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2024-04",,,,"11","6",,,,,,,,,,,"2.13",,,,"4.70",,,,,,,,
"US1NJUN0017","40.672178","-74.309574","21.9","2024-05",,,,"12","7",,,,,,,,,,,"0.81",,,,"3.85",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2023-06",,,,"13","9",,,,,,,,,,,"2.83",,,,"5.91",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2023-07",,,,"14","13",,,,,,,,,,,"1.95",,,,"8.78",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2023-08",,,,"13","10",,,,,,,,,,,"0.92",,,,"4.63",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2023-09",,,,"18","13",,,,,,,,,,,"1.34",,,,"7.50",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2023-10",,,,"11","7",,,,,,,,,,,"0.74",,,,"3.94",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2023-11",,,,"9","3",,,,,,,,,,,"1.61",,,,"3.00",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2023-12",,,,"12","8",,,,,,,,,,,"4.68",,,,"10.84",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2024-01",,,,"13","8",,,,,,,,,,,"2.76",,,,"7.22",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2024-02",,,,"11","6",,,,,,,,,,,"0.82",,,,"2.08",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2024-03",,,,"14","7",,,,,,,,,,,"2.10",,,,"7.47",,,,,,,,
"US1NJPS0040","41.006785","-74.266384","89.0","2024-05",,,,"18","14",,,,,,,,,,,"0.93",,,,"4.95",,,,,,,,
"USC00301309","40.88345","-73.37309","9.1","2023-06",,"141","103","10","5","0","0","0","0","0","27","1","49","0","0.0","0.58","90","4640","34","1.54","0.0","67.3","76.2","58.4",,,,
"USC00301309","40.88345","-73.37309","9.1","2023-07",,"514","373","14","10","0","0","0","0","0","31","6","62","0","0.0","0.89","92","0","0","4.30","0.0","77.0","85.8","68.3",,,,
"USC00301309","40.88345","-73.37309","9.1","2023-08",,"740","226","14","9","0","0","0","0","0","31","0","60","0","0.0","1.24","85","0","0","5.09","0.0","72.3","79.6","65.0",,,,
"USC00301309","40.88345","-73.37309","9.1","2023-09",,"876","136","12","10","0","0","0","0","0","20","0","52","0","0.0","3.16","89","56","56","8.14","0.0","67.7","74.4","60.9",,,,
"USC00301309","40.88345","-73.37309","9.1","2023-10",,"893","17","9","7","0","0","0","0","0","10","0","44","0","0.0","0.82","83","268","212","3.06","0.0","58.7","66.1","51.3",,,,
"USC00301309","40.88345","-73.37309","9.1","2023-11",,"893","0","7","5","0","0","0","11","0","0","0","27","0","0.0","1.61","65","898","630","2.39","0.0","44.0","52.1","35.9",,,,
"USC00301309","40.88345","-73.37309","9.1","2023-12",,"893","0","12","8","0","0","0","13","0","0","0","26","0","0.0","4.29","61","1633","735","8.98","0.0","41.3","47.2","35.4",,,,
"USC00301309","40.88345","-73.37309","9.1","2024-01",,"0","0","12","7","8","2","0","19","7","0","0","16","3","2.2","2.55","57","2585","952","6.25","3.9","34.3","40.0","28.6",,,,
"USC00301309","40.88345","-73.37309","9.1","2024-02",,"0","0","7","3","9","1","0","24","0","0","0","19","5","2.2","0.56","59","3442","857","1.10","3.0","35.4","42.6","28.3",,,,
"USC00301309","40.88345","-73.37309","9.1","2024-03",,"0","0","13","8","0","0","0","7","0","2","0","26","0","0.0","3.55","70","4088","646","10.82","0.0","44.2","52.5","35.8",,,,
"USC00301309","40.88345","-73.37309","9.1","2024-04",,"4","4","10","6","0","0","0","0","0","4","0","35","0","0.0","1.31","84","4516","428","3.76","0.0","50.8","59.9","41.7",,,,
"USC00301309","40.88345","-73.37309","9.1","2024-05",,"54","50","11","8","0","0","0","0","0","17","0","45","0","0.0","1.69","84","4654","138","4.37","0.0","62.1","70.6","53.5",,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2023-06",,,,"12","7",,,,,,,,,,,"0.87",,,,"3.31",,,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2023-07",,,,"11","9",,,,,,,,,,,"0.96",,,,"6.03",,,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2023-08",,,,"13","12",,,,,,,,,,,"0.97",,,,"5.71",,,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2023-09",,,,"15","10",,,,,,,,,,,"1.27",,,,"7.72",,,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2023-11",,,,"6","2",,"0",,,,,,,,"0.0","2.23",,,,"3.66","0.0",,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2024-01",,,,"14","9",,,,,,,,,,,"2.76",,,,"6.43",,,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2024-02",,,,,,,,,,,,,,,,,,,,"1.91",,,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2024-03",,,,"13","8",,,,,,,,,,,"2.30",,,,"8.08",,,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2024-04",,,,"14","8",,,,,,,,,,,"1.66",,,,"4.95",,,,,,,,
"US1NJUN0014","40.658817","-74.335804","36.3","2024-05",,,,"14","8",,,,,,,,,,,"0.75",,,,"3.97",,,,,,,,
"USC00281335","40.7436","-74.3539","54.9","2023-06",,"169","133",,,,,"0","0","0","29","2","45",,,,"96","4618","24","4.54",,"68.6","79.7","57.5",,,,
"USC00281335","40.7436","-74.3539","54.9","2023-07",,"573","404",,,,,"0","0","0","31","11","59",,,,"94","0","0","5.70",,"78.0","87.8","68.3",,,,
"USC00281335","40.7436","-74.3539","54.9","2023-08",,"848","275",,,,,"0","0","0","31","0","56",,,,"89","0","0","5.23",,"73.9","83.6","64.1",,,,
"USC00281335","40.7436","-74.3539","54.9","2023-09",,"1004","155",,,,,"0","0","0","22","6","46",,,,"97","65","65","7.22",,"68.0","77.7","58.3",,,,
"USC00281335","40.7436","-74.3539","54.9","2023-10",,"1034","30",,,,,"0","0","0","13","0","39",,,,"85","288","223","3.81",,"58.8","68.7","48.8",,,,
"USC00281335","40.7436","-74.3539","54.9","2023-11",,"1034","0",,,,,"0","18","0","0","0","24",,,,"67","957","669","4.13",,"42.7","53.3","32.1",,,,
"USC00281335","40.7436","-74.3539","54.9","2023-12",,"1034","0",,,,,"0","18","0","0","0","23",,,,"62","1695","738","9.39",,"41.2","49.0","33.4",,,,
"US1NYNS0027","40.839167","-73.68025","52.1","2023-06",,,,"14","6",,,,,,,,,,,"0.45",,,,"1.72",,,,,,,,
"US1NYNS0027","40.839167","-73.68025","52.1","2023-07",,,,"16","9",,,,,,,,,,,"1.29",,,,"5.37",,,,,,,,
"US1NYNS0027","40.839167","-73.68025","52.1","2023-08",,,,"12","10",,,,,,,,,,,"1.28",,,,"6.84",,,,,,,,
"US1NYNS0027","40.839167","-73.68025","52.1","2023-09",,,,,,,,,,,,,,,,,,,,"11.80",,,,,,,,
"US1NYNS0027","40.839167","-73.68025","52.1","2024-03",,,,,,,,,,,,,,,,,,,,"8.28",,,,,,,,
"US1NJUN0010","40.6945","-74.3898","113.1","2023-06",,,,"10","8","0","0",,,,,,,"0","0.0","1.46",,,,"4.70","0.0",,,,,,,
"US1NJUN0010","40.6945","-74.3898","113.1","2023-07",,,,"14","11","0","0",,,,,,,"0","0.0","1.45",,,,"5.80","0.0",,,,,,,
"US1NJUN0010","40.6945","-74.3898","113.1","2023-08",,,,"10","10","0","0",,,,,,,"0","0.0","1.35",,,,"5.96","0.0",,,,,,,
"US1NJUN0010","40.6945","-74.3898","113.1","2023-09",,,,"15","10","0","0",,,,,,,"0","0.0","1.46",,,,"7.89","0.0",,,,,,,
"US1NJUN0010","40.6945","-74.3898","113.1","2023-10",,,,"12","5","0","0",,,,,,,"0","0.0","1.19",,,,"2.93","0.0",,,,,,,
"US1NJUN0010","40.6945","-74.3898","113.1","2023-11",,,,"5","2","0","0",,,,,,,"0","0.0","2.07",,,,"3.48","0.0",,,,,,,
